Name,Collection,Type,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Whole Grain,diets,Type 2,[328814] Alistipes shahii (-0.0103),[74426] Collinsella aerofaciens (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carotenoids,diets,Type 2,[216572] Oscillospiraceae (0.0003),[28050] Lachnospira (0.0003),[515620] [Eubacterium] eligens ATCC 27750 (0.0003),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucralose,diets,Type 1,[1239] Bacillota (0.0058),[200643] Bacteroidia (-0.0058),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabinoxylan,diets,Type 2,[40520] Blautia obeum (0.1241),[Probiotic] Bifidobacterium longum (0.1241),[820] Bacteroides uniformis (-0.1017),[2005473] Muribaculaceae (0.1017),[292632] Subdoligranulum (0.1017),[310297] Phocaeicola plebeius (0.1017),[31969] Mollicutes (0.1017),[165179] Segatella copri (0.1017),[2678885] Faecalibacillus (-0.1017),[40518] Ruminococcus bromii (-0.1017),[28116] Bacteroides ovatus (0.1017),[1535] [Clostridium] leptum (0.1017),[626940] Phascolarctobacterium succinatutens (0.1017),[816] Bacteroides (0.1017),[1680] Bifidobacterium adolescentis (0.0223),[39488] Anaerobutyricum hallii (0.0223),[1454229] Bifidobacterium faecale (0.0223),[169435] Anaerotruncus colihominis (-0.0223),[88431] Dorea longicatena (0.0223),[853] Faecalibacterium prausnitzii (0.0223),[1683] Bifidobacterium angulatum (0.0223),[39491] Agathobacter rectalis (0.0223),[418240] Blautia wexlerae (0.0223),[171550] Rikenellaceae (-0.0223),[89014] Blautia luti (0.0223),[31953] Bifidobacteriaceae (0.0223),[171551] Porphyromonadaceae (-0.0223),[1648] Erysipelothrix rhusiopathiae (-0.0223),[84026] [Clostridium] methylpentosum (-0.0223),[1150298] Fusicatenibacter saccharivorans (0.0223)
Vegetarian Diet,diets,Type 2,[838] Prevotella (0.114),[946234] Flavonifractor (-0.0125),[397864] Barnesiella (0.0125),[216572] Oscillospiraceae (0.0125),[596767] Hydrogenoanaerobacterium (0.0125),[102106] Collinsella (-0.0111),[186803] Lachnospiraceae (-0.0111),[1678] Bifidobacterium (-0.0111),[1301] Streptococcus (-0.0111),[292632] Subdoligranulum (0.0111),[84998] Coriobacteriia (-0.0072),[84999] Coriobacteriales (-0.0072),[577310] Parasutterella (-0.0036),,,,,,,,,,,,,,,,,
Oligofructose,diets,Type 2,[1678] Bifidobacterium (0.0063),[186803] Lachnospiraceae (-0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legumes,diets,Type 2,[213849] Campylobacterales (0.0097),[72294] Campylobacteraceae (0.0097),[Pathogen] Campylobacter (0.0097),[3031852] Epsilonproteobacteria (0.0097),[218538] Dialister invisus (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lactobacillus Crispatus_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lactobacillus Helveticus_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Pediococcus Acidilactici_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose,diets,Type 2,[1301] Streptococcus (-0.1476),[1730] Eubacterium (-0.1476),[189330] Dorea (-0.1476),[816] Bacteroides (-0.1476),,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy Products,diets,Type 2,[1678] Bifidobacterium (0.0205),[218538] Dialister invisus (0.0103),[649756] Anaerostipes hadrus (-0.0103),[158846] Megamonas (0.0),[83770] Succinivibrio (0.0),,,,,,,,,,,,,,,,,,,,,,,,,
Very-Low-Calorie Ketogenic Diet,diets,Type 2,[1239] Bacillota (-0.0112),[200643] Bacteroidia (0.0112),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega-3 Fatty Acid Supplementation,diets,Type 2,[1647988] Akkermansiaceae (0.1475),[1578] Lactobacillus (0.1475),[995019] Sutterellaceae (0.1475),[841] Roseburia (0.1475),[1678] Bifidobacterium (0.1475),[31979] Clostridiaceae (0.1475),[28050] Lachnospira (0.1475),[119852] Oscillospira (0.1475),[216851] Faecalibacterium (-0.1475),[33042] Coprococcus (-0.115),[248744] Marvinbryantia (-0.0326),[102106] Collinsella (-0.0326),[1263] Ruminococcus (-0.0326),[816] Bacteroides (0.0326),[33039] [Ruminococcus] torques (-0.0326),[572511] Blautia (-0.0326),,,,,,,,,,,,,,
Probiotics Containing _Lactobacillus Delbrueckii Subsp. Bulgaricus_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kefir,diets,Type 2,[201174] Actinomycetota (0.0409),[33962] Lentilactobacillus kefiri (0.0006),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,diets,Type 2,[1678] Bifidobacterium (0.148),[2040332] Dorea sp. (-0.148),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnan Sulphate,diets,Type 2,[909932] Negativicutes (0.0102),[1239] Bacillota (-0.0102),[1843488] Acidaminococcales (0.0102),[1843489] Veillonellales (0.0102),,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar,diets,Type 2,[1239] Bacillota (-0.1018),[201174] Actinomycetota (0.1018),[508215] Rothia (-0.1018),[572511] Blautia (-0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,
Red Wine,diets,Type 2,[853] Faecalibacterium prausnitzii (0.1494),[84112] Eggerthella lenta (0.0161),[39491] Agathobacter rectalis (0.0161),[838] Prevotella (0.0161),[816] Bacteroides (0.0161),[820] Bacteroides uniformis (0.0161),[1350] Enterococcus (0.0161),[1532] Blautia coccoides (0.0117),[1678] Bifidobacterium (0.0117),[1535] [Clostridium] leptum (-0.0044),[1578] Lactobacillus (-0.0044),,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lacticaseibacillus Rhamnosus_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetal Protein,diets,Type 2,[2172] Methanobrevibacter (0.0),[724] Haemophilus (0.0),[33042] Coprococcus (0.0),[841] Roseburia (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,
High-Carbohydrate/High-Glycemic Index Diet,diets,Type 2,[816] Bacteroides (0.0121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruits,diets,Type 2,[216851] Faecalibacterium (0.0036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,diets,Type 2,[853] Faecalibacterium prausnitzii (0.0185),[40520] Blautia obeum (0.0185),[41200] Bifidobacterium sp. (0.0161),[35783] Enterococcus sp. (0.0161),[1498] Hathewaya histolytica (-0.0161),[1591] Lactobacillus sp. (0.0161),[1578] Lactobacillus (-0.0161),[1678] Bifidobacterium (-0.0161),[572511] Blautia (0.015),[1766253] Agathobacter (-0.015),[28050] Lachnospira (0.015),,,,,,,,,,,,,,,,,,,
Fructo-Oligosaccharide Supplementation,diets,Type 2,[1678] Bifidobacterium (0.0206),[119852] Oscillospira (-0.0102),[1263] Ruminococcus (0.0102),[40544] Sutterella (-0.0102),[1578] Lactobacillus (0.0102),[33042] Coprococcus (-0.0102),[590] Salmonella (-0.0102),[191303] Turicibacter (-0.0102),[547] Enterobacter (-0.0102),[33024] Phascolarctobacterium (-0.0102),[74426] Collinsella aerofaciens (0.0098),[1680] Bifidobacterium adolescentis (0.0098),[201174] Actinomycetota (-0.0063),[216851] Faecalibacterium (0.0039),,,,,,,,,,,,,,,,
Copper,diets,Type 2,[580596] Butyricicoccus (0.0385),[255528] Victivallaceae (0.0385),[1224] Pseudomonadota (0.0107),[200643] Bacteroidia (-0.0107),[201174] Actinomycetota (0.0107),[1239] Bacillota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[74426] Collinsella aerofaciens (-0.0103),[1535] [Clostridium] leptum (-0.0103),[29465] Veillonella (0.0103),,,,,,,,,,,,,,,,,,,,
Increased Caloric Intake,diets,Type 2,[815] Bacteroidaceae (-0.0),[1263] Ruminococcus (-0.0),[186803] Lachnospiraceae (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
