run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF
SRR5936079,1239,phylum,0.7917835671342683,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239,0.9724757761908775
SRR5936079,91061,class,0.002104208416833668,Bacilli,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Bacilli__91061,0.5478701644440349
SRR5936079,2,superkingdom,0.9999999999999999,Bacteria,n__cellular organisms__131567;sk__Bacteria__2,0.8457457661701104
SRR5936079,1783272,kingdom,0.82875751503006,Bacillati,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272,0.9278685805990503
SRR5936079,197614,species,0.00030060120240480977,Streptococcus pasteurianus,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Streptococcus__1301;s__Streptococcus pasteurianus__197614,0.9861193617981852
SRR5936079,2719313,genus,0.019338677354709427,Enterocloster,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Enterocloster__2719313,0.9955448725087581
SRR5936079,583,genus,0.024048096192384783,Proteus,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Morganellaceae__1903414;g__Proteus__583,0.9982190440731854
SRR5936079,32207,genus,0.00040080160320641304,Rothia,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Micrococcaceae__1268;g__Rothia__32207,0.9654290452146526
SRR5936079,1686,species,0.00020040080160320652,Bifidobacterium catenulatum,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium catenulatum__1686,0.6965612102207412
SRR5936079,2810280,family,0.006312625250501005,Coprobacillaceae,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Erysipelotrichia__526524;o__Erysipelotrichales__526525;f__Coprobacillaceae__2810280,0.9267950145833626
SRR5936079,586,genus,0.00010020040080160326,Providencia,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Morganellaceae__1903414;g__Providencia__586,0.9986619063154327
