run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF
SRR5831595,1350,genus,0.472414,Enterococcus,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852;g__Enterococcus__1350,0.9988307521364489
SRR5831595,81852,family,0.472414,Enterococcaceae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852,0.9988307521364489
SRR5831595,186826,order,0.8129759999999999,Lactobacillales,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826,0.9993513206407335
SRR5831595,91061,class,0.8131039999999999,Bacilli,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061,0.9991829901141221
SRR5831595,1239,phylum,0.8198459999999997,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239,0.9828094380804212
SRR5831595,1783272,clade,0.8270069999999997,Terrabacteria group,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272,0.9232770270551359
SRR5831595,2,superkingdom,0.9979959999999992,Bacteria,n__cellular organisms__131567;sk__Bacteria__2,0.38484792964454245
SRR5831595,131567,no rank,0.9979959999999992,cellular organisms,n__cellular organisms__131567,0.23112861854159278
SRR5831595,1134807,strain,0.442701,Enterococcus faecium 506,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852;g__Enterococcus__1350;s__Enterococcus faecium__1352;st__Enterococcus faecium 506__1134807,1.0
SRR5831595,1352,species,0.442701,Enterococcus faecium,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852;g__Enterococcus__1350;s__Enterococcus faecium__1352,1.0
SRR5831595,1581071,species,0.00023,Granulicatella sp. HMSC30F09,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Carnobacteriaceae__186828;g__Granulicatella__117563;n__unclassified Granulicatella__2630493;s__Granulicatella sp. HMSC30F09__1581071,0.9973215376292417
SRR5831595,2630493,no rank,0.00023,unclassified Granulicatella,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Carnobacteriaceae__186828;g__Granulicatella__117563;n__unclassified Granulicatella__2630493,0.9964054511506782
SRR5831595,117563,genus,0.000338,Granulicatella,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Carnobacteriaceae__186828;g__Granulicatella__117563,0.9947070559015321
SRR5831595,186828,family,0.000338,Carnobacteriaceae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Carnobacteriaceae__186828,0.9945034811285185
