ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF
216592,strain,0.0,Escherichia coli 042,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Escherichia__561;s__Escherichia coli__562;set__Escherichia coli O44:H18__861906;st__Escherichia coli 042__216592,0.0
979627,species,0.0,Lachnoanaerobaculum orale,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Lachnoanaerobaculum__1164882;s__Lachnoanaerobaculum orale__979627,0.0
537973,strain,0.0,Lacticaseibacillus paracasei subsp. paracasei 8700:2,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Lacticaseibacillus__2759736;s__Lacticaseibacillus paracasei__1597;sus__Lacticaseibacillus paracasei subsp. paracasei__47714;st__Lacticaseibacillus paracasei subsp. paracasei 8700:2__537973,0.0
1263547,species,0.0,Oscillibacter ruminantium,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Oscillibacter__459786;s__Oscillibacter ruminantium__1263547,0.0
2649774,no rank,0.0055344999999999995,unclassified Parabacteroides,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Tannerellaceae__2005525;g__Parabacteroides__375288;n__unclassified Parabacteroides__2649774,0.5001016673444705
1239,phylum,0.35408549999999944,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239,0.5001016673444711
32008,genus,0.0,Burkholderia,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Burkholderiales__80840;f__Burkholderiaceae__119060;g__Burkholderia__32008,0.0
630,species,0.0,Yersinia enterocolitica,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Yersiniaceae__1903411;g__Yersinia__629;s__Yersinia enterocolitica__630,0.0
91061,class,0.004169,Bacilli,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061,0.5001016673444705
1783272,clade,0.3971359999999987,Terrabacteria group,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272,0.5001016673444705
301301,species,0.0020759999999999997,Roseburia hominis,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Roseburia__841;s__Roseburia hominis__301301,0.5001016673444705
28118,species,0.0026,Odoribacter splanchnicus,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Odoribacteraceae__1853231;g__Odoribacter__283168;s__Odoribacter splanchnicus__28118,0.5018300122001025
2767353,genus,0.0,Lancefieldella,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Actinomycetota__201174;c__Coriobacteriia__84998;o__Coriobacteriales__84999;f__Atopobiaceae__1643824;g__Lancefieldella__2767353,0.0
172900,genus,0.0,Victivallis,n__cellular organisms__131567;sk__Bacteria__2;cl__PVC group__1783257;p__Lentisphaerota__256845;c__Lentisphaeria__1313211;o__Victivallales__278082;f__Victivallaceae__255528;g__Victivallis__172900,0.0
278082,order,0.0,Victivallales,n__cellular organisms__131567;sk__Bacteria__2;cl__PVC group__1783257;p__Lentisphaerota__256845;c__Lentisphaeria__1313211;o__Victivallales__278082,0.0
2719313,genus,0.0002,Enterocloster,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Enterocloster__2719313,0.5020333468890004
255528,family,0.0,Victivallaceae,n__cellular organisms__131567;sk__Bacteria__2;cl__PVC group__1783257;p__Lentisphaerota__256845;c__Lentisphaeria__1313211;o__Victivallales__278082;f__Victivallaceae__255528,0.0
739,species,0.0,Aggregatibacter segnis,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pasteurellales__135625;f__Pasteurellaceae__712;g__Aggregatibacter__416916;s__Aggregatibacter segnis__739,0.0
208479,species,0.0,Enterocloster bolteae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Enterocloster__2719313;s__Enterocloster bolteae__208479,0.0
162289,genus,0.0,Peptoniphilus,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Tissierellia__1737404;o__Tissierellales__1737405;f__Peptoniphilaceae__1570339;g__Peptoniphilus__162289,0.0
420345,genus,0.0,Lactonifactor,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Clostridiaceae__31979;g__Lactonifactor__420345,0.0
1683,species,0.0,Bifidobacterium angulatum,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium angulatum__1683,0.0
199,species,0.0,Campylobacter concisus,n__cellular organisms__131567;sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Campylobacteraceae__72294;g__Campylobacter__194;s__Campylobacter concisus__199,0.0
39485,species,0.001542,Lachnospira eligens,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Lachnospira__28050;s__Lachnospira eligens__39485,0.5001016673444705
28026,species,0.0,Bifidobacterium pseudocatenulatum,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium pseudocatenulatum__28026,0.0
583,genus,0.0,Proteus,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Morganellaceae__1903414;g__Proteus__583,0.0
84107,family,0.0022,Coriobacteriaceae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Actinomycetota__201174;c__Coriobacteriia__84998;o__Coriobacteriales__84999;f__Coriobacteriaceae__84107,0.5012200081334088
470,species,0.0,Acinetobacter baumannii,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Moraxellales__2887326;f__Moraxellaceae__468;g__Acinetobacter__469;sgr__Acinetobacter calcoaceticus/baumannii complex__909768;s__Acinetobacter baumannii__470,0.0
28141,species,0.0,Cronobacter sakazakii,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Cronobacter__413496;s__Cronobacter sakazakii__28141,0.0
341220,species,0.0,Lactonifactor longoviformis,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Clostridiaceae__31979;g__Lactonifactor__420345;s__Lactonifactor longoviformis__341220,0.0
410072,species,0.0019795000000000004,Coprococcus comes,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Coprococcus__33042;s__Coprococcus comes__410072,0.5001016673444705
762210,species,0.0,Bifidobacterium saguini,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium saguini__762210,0.0
1328,species,0.0,Streptococcus anginosus,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Streptococcus__1301;sgr__Streptococcus anginosus group__671232;s__Streptococcus anginosus__1328,0.0
1573535,genus,0.0,Holdemanella,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Erysipelotrichia__526524;o__Erysipelotrichales__526525;f__Erysipelotrichaceae__128827;g__Holdemanella__1573535,0.0
28025,species,0.0,Bifidobacterium animalis,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium animalis__28025,0.0
32033,family,0.0,Xanthomonadaceae,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Xanthomonadales__135614;f__Xanthomonadaceae__32033,0.0
102148,species,0.0,Solobacterium moorei,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Erysipelotrichia__526524;o__Erysipelotrichales__526525;f__Erysipelotrichaceae__128827;g__Solobacterium__123375;s__Solobacterium moorei__102148,0.0
649775,class,0.0,Synergistia,n__cellular organisms__131567;sk__Bacteria__2;p__Synergistota__508458;c__Synergistia__649775,0.0
508458,phylum,0.0,Synergistota,n__cellular organisms__131567;sk__Bacteria__2;p__Synergistota__508458,0.0
32207,genus,0.0,Rothia,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Micrococcaceae__1268;g__Rothia__32207,0.0
204475,genus,0.00404,Gemmiger,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;n__Eubacteriales incertae sedis__538999;g__Gemmiger__204475,0.5001016673444705
1358,species,0.0,Lactococcus lactis,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Lactococcus__1357;s__Lactococcus lactis__1358,0.0
1302,species,0.0,Streptococcus gordonii,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Streptococcus__1301;s__Streptococcus gordonii__1302,0.0
85023,family,0.0,Microbacteriaceae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Microbacteriaceae__85023,0.0
649777,family,0.0,Synergistaceae,n__cellular organisms__131567;sk__Bacteria__2;p__Synergistota__508458;c__Synergistia__649775;o__Synergistales__649776;f__Synergistaceae__649777,0.0
1686,species,0.0,Bifidobacterium catenulatum,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium catenulatum__1686,0.0
218538,species,0.0,Dialister invisus,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Negativicutes__909932;o__Veillonellales__1843489;f__Veillonellaceae__31977;g__Dialister__39948;s__Dialister invisus__218538,0.0
135614,order,0.0,Xanthomonadales,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Xanthomonadales__135614,0.0
2810280,family,0.0002,Coprobacillaceae,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Erysipelotrichia__526524;o__Erysipelotrichales__526525;f__Coprobacillaceae__2810280,0.5012200081334088
508459,genus,0.0,Cloacibacillus,n__cellular organisms__131567;sk__Bacteria__2;p__Synergistota__508458;c__Synergistia__649775;o__Synergistales__649776;f__Synergistaceae__649777;g__Cloacibacillus__508459,0.0
586,genus,0.0,Providencia,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Morganellaceae__1903414;g__Providencia__586,0.0
33024,genus,0.0022285,Phascolarctobacterium,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Negativicutes__909932;o__Acidaminococcales__1843488;f__Acidaminococcaceae__909930;g__Phascolarctobacterium__33024,0.5001016673444705
1297,phylum,0.0,Deinococcota,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Deinococcota__1297,0.0
188787,class,0.0,Deinococci,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Deinococcota__1297;c__Deinococci__188787,0.0
61170,genus,0.0003,Holdemania,n__cellular organisms__131567;sk__Bacteria__2;cl__Terrabacteria group__1783272;p__Bacillota__1239;c__Erysipelotrichia__526524;o__Erysipelotrichales__526525;f__Erysipelotrichaceae__128827;g__Holdemania__61170,0.523383489223278
209,genus,0.0,Helicobacter,n__cellular organisms__131567;sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Helicobacteraceae__72293;g__Helicobacter__209,0.0
649776,order,0.0,Synergistales,n__cellular organisms__131567;sk__Bacteria__2;p__Synergistota__508458;c__Synergistia__649775;o__Synergistales__649776,0.0
40323,genus,0.0,Stenotrophomonas,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Xanthomonadales__135614;f__Xanthomonadaceae__32033;g__Stenotrophomonas__40323,0.0
204457,order,0.0,Sphingomonadales,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Sphingomonadales__204457,0.0
41297,family,0.0,Sphingomonadaceae,n__cellular organisms__131567;sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Sphingomonadales__204457;f__Sphingomonadaceae__41297,0.0
