run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF
ERR262943,1440766,strain,0.0007937189945316248,Xanthomonas pisi DSM 18956,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Lysobacterales__135614;f__Lysobacteraceae__32033;g__Xanthomonas__338;s__Xanthomonas pisi__56457;st__Xanthomonas pisi DSM 18956__1440766,1.0
ERR262943,1239,phylum,0.024414076508110453,Bacillota,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239,0.01090206029913147
ERR262943,2,superkingdom,1.0,Bacteria,n__cellular organisms__131567;sk__Bacteria__2,0.9096102836155229
ERR262943,1783272,kingdom,0.02965427890352806,Bacillati,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272,0.006047171211393117
ERR262943,39485,species,0.0017150140444385747,Lachnospira eligens,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Lachnospira__28050;s__Lachnospira eligens__39485,0.528411968987419
ERR262943,32033,family,0.0017885753621492972,Lysobacteraceae,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Lysobacterales__135614;f__Lysobacteraceae__32033,0.9988977654520983
ERR262943,28025,species,1.884581329022432e-05,Bifidobacterium animalis,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Bifidobacteriales__85004;f__Bifidobacteriaceae__31953;g__Bifidobacterium__1678;s__Bifidobacterium animalis__28025,0.9364142122135332
ERR262943,218538,species,0.002671340008677357,Dialister invisus,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Negativicutes__909932;o__Veillonellales__1843489;f__Veillonellaceae__31977;g__Dialister__39948;s__Dialister invisus__218538,0.7549978302309454
ERR262943,135614,order,0.0017885753621492972,Lysobacterales,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Lysobacterales__135614,0.9988977654520983
ERR262943,338,genus,0.0017885753621492972,Xanthomonas,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Lysobacterales__135614;f__Lysobacteraceae__32033;g__Xanthomonas__338,0.9995098854276134
ERR262943,1236,class,0.8576233891549228,Gammaproteobacteria,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236,0.9944666948313509
ERR262943,1783270,clade,0.11168425682940193,FCB group,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270,0.08252870423844591
ERR262943,976,phylum,0.11168425682940193,Bacteroidota,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976,0.08252870423844591
ERR262943,200643,class,0.12868801941867936,Bacteroidia,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976;c__Bacteroidia__200643,0.09646808507479682
ERR262943,171549,order,0.11168425682940193,Bacteroidales,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549,0.08252870423844591
ERR262943,68336,clade,0.11168425682940193,Bacteroidota/Chlorobiota group,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336,0.08252870423844591
ERR262943,543,family,0.8558348137927769,Enterobacteriaceae,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543,0.9963032212726708
ERR262943,171552,family,0.002614354707515668,Prevotellaceae,n__cellular organisms__131567;sk__Bacteria__2;cl__FCB group__1783270;cl__Bacteroidota/Chlorobiota group__68336;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Prevotellaceae__171552,0.5679529003268344
ERR262943,216572,family,0.021148144160599586,Oscillospiraceae,n__cellular organisms__131567;sk__Bacteria__2;k__Bacillati__1783272;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572,0.07287738448620516
ERR262943,1224,phylum,0.8576233891549228,Pseudomonadota,n__cellular organisms__131567;sk__Bacteria__2;k__Pseudomonadati__3379134;p__Pseudomonadota__1224,0.9944666948313509
