run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,,,,,,,,,,
SRR5936079,411475,strain,0.0636,Flavonifractor plautii ATCC 29863,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Flavonifractor__946234,s__Flavonifractor plautii__292800,st__Flavonifractor plautii ATCC 29863__411475,0.999533346560683,
SRR5936079,292800,species,0.0636,Flavonifractor plautii,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Flavonifractor__946234,s__Flavonifractor plautii__292800,0.999055732438716,,
SRR5936079,946234,genus,0.0659,Flavonifractor,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Flavonifractor__946234,0.999079992757464,,,
SRR5936079,216572,family,0.1636,Oscillospiraceae,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,0.712887535899567,,,,
SRR5936079,186802,order,0.208,Eubacteriales,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,0.727051468226439,,,,,
SRR5936079,186801,class,0.5118,Clostridia,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,0.849517527787876,,,,,,
SRR5936079,1239,phylum,0.790199999999999,Bacillota,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,0.97069686553004,,,,,,,
SRR5936079,1783272,clade,0.827099999999999,Terrabacteria group,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,0.923289964950733,,,,,,,,
SRR5936079,2,superkingdom,0.997999999999999,Bacteria,n__cellular organisms__131567,sk__Bacteria__2,0.623488457310321,,,,,,,,,
SRR5936079,131567,no rank,0.997999999999999,cellular organisms,n__cellular organisms__131567,0.534994503481092,,,,,,,,,,
SRR5936079,1965537,species,0.0023,Flavonifractor sp. An10,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Flavonifractor__946234,n__unclassified Flavonifractor__2629267,s__Flavonifractor sp. An10__1965537,0.993304872586918,
SRR5936079,2629267,no rank,0.0023,unclassified Flavonifractor,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Flavonifractor__946234,n__unclassified Flavonifractor__2629267,0.993220960058529,,
SRR5936079,1965576,species,0.0398,Pseudoflavonifractor sp. An184,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Pseudoflavonifractor__1017280,n__unclassified Pseudoflavonifractor__2628103,s__Pseudoflavonifractor sp. An184__1965576,0.999991499680747,
SRR5936079,2628103,no rank,0.0398,unclassified Pseudoflavonifractor,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Pseudoflavonifractor__1017280,n__unclassified Pseudoflavonifractor__2628103,0.999991499680747,,
SRR5936079,1017280,genus,0.0416,Pseudoflavonifractor,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Pseudoflavonifractor__1017280,0.999955156605843,,,
SRR5936079,411467,strain,0.0018,Pseudoflavonifractor capillosus ATCC 29799,n__cellular organisms__131567,sk__Bacteria__2,cl__Terrabacteria group__1783272,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Oscillospiraceae__216572,g__Pseudoflavonifractor__1017280,s__Pseudoflavonifractor capillosus__106588,st__Pseudoflavonifractor capillosus ATCC 29799__411467,0.992304873579966,
