name,rank,lineage
Mastigocladopsis repens,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Nostocales__1161;f__Symphyonemataceae__1892258;g__Mastigocladopsis__221282;s__Mastigocladopsis repens__221287
Pseudomonas jessenii,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pseudomonadales__72274;f__Pseudomonadaceae__135621;g__Pseudomonas__286;s__Pseudomonas jessenii__77298
Ensifer,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomicrobiales__356;f__Rhizobiaceae__82115;g__Ensifer__106591
Ensifer adhaerens,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomicrobiales__356;f__Rhizobiaceae__82115;g__Ensifer__106591;s__Ensifer adhaerens__106592
Bradyrhizobium sp. CCBAU 15615,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomicrobiales__356;f__Nitrobacteraceae__41294;g__Bradyrhizobium__374;s__Bradyrhizobium sp. CCBAU 15615__1128179
Mycoplasma simbae,species,sk__Bacteria__2;p__Mycoplasmatota__544448;c__Mollicutes__31969;o__Mycoplasmatales__2085;f__Mycoplasmataceae__2092;g__Mycoplasma__2093;s__Mycoplasma simbae__36744
Pseudarthrobacter siccitolerans,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Micrococcaceae__1268;g__Pseudarthrobacter__1742993;s__Pseudarthrobacter siccitolerans__861266
Tyzzerella sp. An114,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Tyzzerella__1506577;s__Tyzzerella sp. An114__1965545
Desulfovibrio sp. Dsv1,species,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfovibrionia__3031449;o__Desulfovibrionales__213115;f__Desulfovibrionaceae__194924;g__Desulfovibrio__872;s__Desulfovibrio sp. Dsv1__1292024
Ruminococcus sp. AF31-14BH,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Ruminococcus__1263;s__Ruminococcus sp. AF31-14BH__2293173
Companilactobacillus halodurans,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Companilactobacillus__2767879;s__Companilactobacillus halodurans__2584183
Kallipyga,genus,sk__Bacteria__2;p__Bacillota__1239;c__Tissierellia__1737404;g__Kallipyga__1472763
Citrobacter sp. wls620,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Citrobacter__544;s__Citrobacter sp. wls620__2576431
Serratia surfactantfaciens,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Yersiniaceae__1903411;g__Serratia__613;s__Serratia surfactantfaciens__2741499
Bacteroides sp. OF04-15BH,species,sk__Bacteria__2;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Bacteroidaceae__815;g__Bacteroides__816;s__Bacteroides sp. OF04-15BH__2292281
Actinotignum sanguinis,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Actinomycetales__2037;f__Actinomycetaceae__2049;g__Actinotignum__1653174;s__Actinotignum sanguinis__1445614
Streptococcus sp. HSISM1,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Streptococcus__1301;s__Streptococcus sp. HSISM1__1316408
Stenotrophomonas sp. LMG 10879,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Xanthomonadales__135614;f__Xanthomonadaceae__32033;g__Stenotrophomonas__40323;s__Stenotrophomonas sp. LMG 10879__487706
Kallipyga massiliensis,species,sk__Bacteria__2;p__Bacillota__1239;c__Tissierellia__1737404;g__Kallipyga__1472763;s__Kallipyga massiliensis__1472764
Enterobacter sp. DE0047,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Enterobacter__547;s__Enterobacter sp. DE0047__2584949
Streptococcus sp. CCH8-G7,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Streptococcus__1301;s__Streptococcus sp. CCH8-G7__1768771
Klebsiella sp. FDAARGOS_511,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Klebsiella__570;s__Klebsiella sp. FDAARGOS_511__2488567
Peptoniphilus vaginalis,species,sk__Bacteria__2;p__Bacillota__1239;c__Tissierellia__1737404;o__Tissierellales__1737405;f__Peptoniphilaceae__1570339;g__Peptoniphilus__162289;s__Peptoniphilus vaginalis__1756987
Bacteroides sp. AR20,species,sk__Bacteria__2;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Bacteroidaceae__815;g__Bacteroides__816;s__Bacteroides sp. AR20__93974
Clostridium sp. NCR,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Clostridiaceae__31979;g__Clostridium__1485;s__Clostridium sp. NCR__1538552
Bacillus spizizenii,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Bacillus__1386;s__Bacillus spizizenii__96241
Serratia sp. S119,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Yersiniaceae__1903411;g__Serratia__613;s__Serratia sp. S119__1118230
Citrobacter sp. wls826,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Citrobacter__544;s__Citrobacter sp. wls826__2576415
Bacteroides sp. AM26-2,species,sk__Bacteria__2;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Bacteroidaceae__815;g__Bacteroides__816;s__Bacteroides sp. AM26-2__2292946
Citrobacter sp. wls710,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Citrobacter__544;s__Citrobacter sp. wls710__2576426
beta proteobacterium JGI 0001001-A11,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;s__beta proteobacterium JGI 0001001-A11__1268298
Dermabacter jinjuensis,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Dermabacteraceae__85020;g__Dermabacter__36739;s__Dermabacter jinjuensis__1667168
Collinsella sp. AF23-3LB,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Coriobacteriia__84998;o__Coriobacteriales__84999;f__Coriobacteriaceae__84107;g__Collinsella__102106;s__Collinsella sp. AF23-3LB__2292223
Staphylococcus pseudoxylosus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Staphylococcaceae__90964;g__Staphylococcus__1279;s__Staphylococcus pseudoxylosus__2282419
Staphylococcus sp. AtHG25,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Staphylococcaceae__90964;g__Staphylococcus__1279;s__Staphylococcus sp. AtHG25__1938895
Corynebacterium simulans,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Mycobacteriales__85007;f__Corynebacteriaceae__1653;g__Corynebacterium__1716;s__Corynebacterium simulans__146827
Ruminococcus sp. AM09-18-1,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Ruminococcus__1263;s__Ruminococcus sp. AM09-18-1__2293182
Blautia sp. An249,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Blautia__572511;s__Blautia sp. An249__1965603
Collinsella sp. AF18-8LB,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Coriobacteriia__84998;o__Coriobacteriales__84999;f__Coriobacteriaceae__84107;g__Collinsella__102106;s__Collinsella sp. AF18-8LB__2292218
Pseudomonas sp. p21,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pseudomonadales__72274;f__Pseudomonadaceae__135621;g__Pseudomonas__286;s__Pseudomonas sp. p21__1825979
Porphyromonadaceae bacterium FC4,species,sk__Bacteria__2;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Porphyromonadaceae__171551;s__Porphyromonadaceae bacterium FC4__1720317
Lachnoanaerobaculum orale,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Lachnoanaerobaculum__1164882;s__Lachnoanaerobaculum orale__979627
