Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism,Top 31 Organism,Top 32 Organism,Top 33 Organism,Top 34 Organism,Top 35 Organism,Top 36 Organism,Top 37 Organism,Top 38 Organism,Top 39 Organism,Top 40 Organism,Top 41 Organism,Top 42 Organism,Top 43 Organism,Top 44 Organism,Top 45 Organism,Top 46 Organism,Top 47 Organism,Top 48 Organism,Top 49 Organism,Top 50 Organism,Top 51 Organism,Top 52 Organism,Top 53 Organism,Top 54 Organism,Top 55 Organism,Top 56 Organism,Top 57 Organism,Top 58 Organism,Top 59 Organism,Top 60 Organism,Top 61 Organism,Top 62 Organism,Top 63 Organism,Top 64 Organism,Top 65 Organism,Top 66 Organism,Top 67 Organism,Top 68 Organism,Top 69 Organism,Top 70 Organism,Top 71 Organism,Top 72 Organism,Top 73 Organism,Top 74 Organism,Top 75 Organism,Top 76 Organism,Top 77 Organism,Top 78 Organism,Top 79 Organism,Top 80 Organism,Top 81 Organism,Top 82 Organism,Top 83 Organism,Top 84 Organism,Top 85 Organism,Top 86 Organism,Top 87 Organism,Top 88 Organism,Top 89 Organism,Top 90 Organism,Top 91 Organism,Top 92 Organism,Top 93 Organism,Top 94 Organism,Top 95 Organism,Top 96 Organism,Top 97 Organism,Top 98 Organism,Top 99 Organism,Top 100 Organism
Blind Loop Syndrome,health_concerns,[216851] Faecalibacterium (4825621554989136.0) (abundance=0) (cdf=0),[1680] Bifidobacterium adolescentis (-4825621554989136.0) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (4825621554989136.0) (abundance=0) (cdf=0),[820] Bacteroides uniformis (-4825621554989136.0) (abundance=0) (cdf=0),[838] Prevotella (4825621554989136.0) (abundance=0) (cdf=0),[165179] Segatella copri (4825621554989136.0) (abundance=0) (cdf=0),[815] Bacteroidaceae (-1.000403687815279) (abundance=0) (cdf=0),[171550] Rikenellaceae (-1.000403687815279) (abundance=0) (cdf=0),[171551] Porphyromonadaceae (-1.000403687815279) (abundance=0) (cdf=0),[1239] Bacillota (1.000403687815279) (abundance=0) (cdf=0),[200643] Bacteroidia (-1.000403687815279) (abundance=0) (cdf=0),[186803] Lachnospiraceae (1.000403687815279) (abundance=0) (cdf=0),[203490] Fusobacteriia (1.000403687815279) (abundance=0) (cdf=0),[572511] Blautia (1.000403687815279) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucrose Digestion,health_concerns,[820] Bacteroides uniformis (1.0) (abundance=0) (cdf=0),[28116] Bacteroides ovatus (1.0) (abundance=0) (cdf=0),[817] Bacteroides fragilis (1.0) (abundance=0) (cdf=0),[821] Phocaeicola vulgatus (1.0) (abundance=0) (cdf=0),[818] Bacteroides thetaiotaomicron (1.0) (abundance=0) (cdf=0),[47678] Bacteroides caccae (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arthritis, Rheumatoid",health_concerns,[74426] Collinsella aerofaciens (25.64237852141724) (abundance=0) (cdf=0),[2731643] Autographiviridae (-24.50327375690491) (abundance=0) (cdf=0),[10841] Microviridae (-24.50327375690491) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-24.50327375690491) (abundance=0) (cdf=0),[216816] Bifidobacterium longum (24.50327375690491) (abundance=0) (cdf=0),[360807] Roseburia inulinivorans (-24.50327375690491) (abundance=0) (cdf=0),[39486] Dorea formicigenerans (23.364168992392585) (abundance=0) (cdf=0),[745368] Gemmiger formicilis (13.106319987055603) (abundance=0) (cdf=0),[4932] Saccharomyces cerevisiae (-13.106319987055603) (abundance=0) (cdf=0),[2646097] unclassified Bacteroides (-13.106319987055603) (abundance=0) (cdf=0),[40518] Ruminococcus bromii (13.106319987055603) (abundance=0) (cdf=0),[5476] Candida albicans (-13.106319987055603) (abundance=0) (cdf=0),[33038] Mediterraneibacter gnavus (11.39695376984931) (abundance=0) (cdf=0),[29523] Bacteroides sp (-11.39695376984931) (abundance=0) (cdf=0),[1301] Streptococcus (7.734059091085599) (abundance=0) (cdf=0),[216851] Faecalibacterium (-6.832312347719199) (abundance=0) (cdf=0),[841] Roseburia (-6.52755763183014) (abundance=0) (cdf=0),[84111] Eggerthella (5.739348561030649) (abundance=0) (cdf=0),[1678] Bifidobacterium (-5.496553301732094) (abundance=0) (cdf=0),[204475] Gemmiger (-5.090423543846748) (abundance=0) (cdf=0),[1407607] Fusicatenibacter (-4.896838350433202) (abundance=0) (cdf=0),[28050] Lachnospira (-4.547780772924757) (abundance=0) (cdf=0),[292632] Subdoligranulum (-3.5927009800801484) (abundance=0) (cdf=0),[44748] Sporobacter (-3.5927009800801484) (abundance=0) (cdf=0),[264995] Anaerofustis (-3.5927009800801484) (abundance=0) (cdf=0),[1573536] Faecalicoccus (3.5927009800801484) (abundance=0) (cdf=0),[508215] Rothia (3.5927009800801484) (abundance=0) (cdf=0),[84113] unclassified Coriobacteriaceae (-3.5927009800801484) (abundance=0) (cdf=0),[1654] Actinomyces (3.5927009800801484) (abundance=0) (cdf=0),[348841] unclassified Clostridia (-3.5927009800801484) (abundance=0) (cdf=0),[1501226] Romboutsia (-3.5927009800801484) (abundance=0) (cdf=0),[1378] Gemella (3.5927009800801484) (abundance=0) (cdf=0),[1224] Pseudomonadota (3.3168026071198566) (abundance=0) (cdf=0),[84998] Coriobacteriia (-3.224389907661536) (abundance=0) (cdf=0),[580596] Butyricicoccus (-3.145236280908246) (abundance=0) (cdf=0),[119852] Oscillospira (2.98979305357538) (abundance=0) (cdf=0),[906] Megasphaera (2.5567558299183575) (abundance=0) (cdf=0),[1357] Lactococcus (2.547980428361297) (abundance=0) (cdf=0),[186806] Eubacteriaceae (2.2354944808681307) (abundance=0) (cdf=0),[158846] Megamonas (-2.1986286874144563) (abundance=0) (cdf=0),[1730] Eubacterium (2.172382302492722) (abundance=0) (cdf=0),[84999] Coriobacteriales (-2.1280001913057327) (abundance=0) (cdf=0),[1506553] Lachnoclostridium (-2.005337657439306) (abundance=0) (cdf=0),[1578] Lactobacillus (1.9504012556139187) (abundance=0) (cdf=0),[75682] Oxalobacteraceae (-1.884055295548143) (abundance=0) (cdf=0),[816] Bacteroides (1.8200572312770005) (abundance=0) (cdf=0),[31953] Bifidobacteriaceae (-1.7449311582902856) (abundance=0) (cdf=0),[85004] Bifidobacteriales (-1.7449311582902856) (abundance=0) (cdf=0),[1350] Enterococcus (-1.657103095649507) (abundance=0) (cdf=0),[33042] Coprococcus (-1.5827038154411832) (abundance=0) (cdf=0),[40544] Sutterella (-1.4977225637665996) (abundance=0) (cdf=0),[375288] Parabacteroides (-1.4977225637665996) (abundance=0) (cdf=0),[397864] Barnesiella (-1.4977225637665996) (abundance=0) (cdf=0),[2383] Candidatus Epulonipiscium (1.4977225637665996) (abundance=0) (cdf=0),[544] Citrobacter (-1.4920704898087802) (abundance=0) (cdf=0),[239934] Akkermansia (-1.4920704898087802) (abundance=0) (cdf=0),[28138] Rikenella (-1.4920704898087802) (abundance=0) (cdf=0),[1283313] Alloprevotella (-1.4920704898087802) (abundance=0) (cdf=0),[1827] Rhodococcus (-1.4920704898087802) (abundance=0) (cdf=0),[209] Helicobacter (-1.4920704898087802) (abundance=0) (cdf=0),[547] Enterobacter (-1.4920704898087802) (abundance=0) (cdf=0),[1769710] Sellimonas (1.4920704898087802) (abundance=0) (cdf=0),[946234] Flavonifractor (1.4920704898087802) (abundance=0) (cdf=0),[283168] Odoribacter (-1.4920704898087802) (abundance=0) (cdf=0),[526525] Erysipelotrichales (-1.4794587493712503) (abundance=0) (cdf=0),[526524] Erysipelotrichia (-1.4794587493712503) (abundance=0) (cdf=0),[1228827] Influenza A virus (-1.4794587493712503) (abundance=0) (cdf=0),[171549] Bacteroidales (1.4794587493712503) (abundance=0) (cdf=0),[1766253] Agathobacter (-1.437134087983393) (abundance=0) (cdf=0),[84107] Coriobacteriaceae (-1.3369313763312936) (abundance=0) (cdf=0),[1432051] Eisenbergiella (1.3041373703530543) (abundance=0) (cdf=0),[237] Flavobacterium (1.3041373703530543) (abundance=0) (cdf=0),[561] Escherichia (1.3041373703530543) (abundance=0) (cdf=0),[28129] Prevotella denticola (1.1438288652538473) (abundance=0) (cdf=0),[1266] Sarcina (-1.1391047645123276) (abundance=0) (cdf=0),[190972] Sedimentibacter (1.1391047645123276) (abundance=0) (cdf=0),[468] Moraxellaceae (1.1391047645123276) (abundance=0) (cdf=0),[836] Porphyromonas (-1.1391047645123276) (abundance=0) (cdf=0),[80864] Comamonadaceae (1.1391047645123276) (abundance=0) (cdf=0),[81852] Enterococcaceae (1.1391047645123276) (abundance=0) (cdf=0),[36834] Clostridium celatum (-1.1251370815125372) (abundance=0) (cdf=0),[2049] Actinomycetaceae (1.0963897163558034) (abundance=0) (cdf=0),[186826] Lactobacillales (1.0963897163558034) (abundance=0) (cdf=0),[2037] Actinomycetales (1.0963897163558034) (abundance=0) (cdf=0),[2005519] Barnesiellaceae (-1.0963897163558034) (abundance=0) (cdf=0),[551] Erwinia (1.0963897163558034) (abundance=0) (cdf=0),[1643685] Borreliaceae (-1.0963897163558034) (abundance=0) (cdf=0),[191303] Turicibacter (1.0963897163558034) (abundance=0) (cdf=0),[2810281] Turicibacteraceae (1.0963897163558034) (abundance=0) (cdf=0),[213849] Campylobacterales (1.0759925861369184) (abundance=0) (cdf=0),[31979] Clostridiaceae (1.0759925861369184) (abundance=0) (cdf=0),[3031852] Epsilonproteobacteria (1.0759925861369184) (abundance=0) (cdf=0),[1263] Ruminococcus (1.059033266151758) (abundance=0) (cdf=0),[447020] Adlercreutzia (1.059033266151758) (abundance=0) (cdf=0),[904] Acidaminococcus (1.059033266151758) (abundance=0) (cdf=0),[1870884] Clostridioides (1.0502578645946974) (abundance=0) (cdf=0),[165779] Anaerococcus (1.0502578645946974) (abundance=0) (cdf=0),[5475] Candida (1.0502578645946974) (abundance=0) (cdf=0),[5206] Cryptococcus (-1.0502578645946974) (abundance=0) (cdf=0),[4958] Debaryomyces (1.0502578645946974) (abundance=0) (cdf=0)
Pemphigus,health_concerns,[561] Escherichia (855.3569514690522) (abundance=0) (cdf=0),[562] Escherichia coli (855.3569514690522) (abundance=0) (cdf=0),[841] Roseburia (-855.3569514690522) (abundance=0) (cdf=0),[91347] Enterobacterales (854.7824923152673) (abundance=0) (cdf=0),[543] Enterobacteriaceae (854.7824923152673) (abundance=0) (cdf=0),[1300] Streptococcaceae (854.7824923152673) (abundance=0) (cdf=0),[1236] Gammaproteobacteria (854.7824923152673) (abundance=0) (cdf=0),[1263] Ruminococcus (-853.097837810188) (abundance=0) (cdf=0),[447020] Adlercreutzia (-853.097837810188) (abundance=0) (cdf=0),[2630086] unclassified Veillonella (853.097837810188) (abundance=0) (cdf=0),[2638988] unclassified Megamonas (-853.097837810188) (abundance=0) (cdf=0),[2049040] Roseburia sp (-853.097837810188) (abundance=0) (cdf=0),[2608887] unclassified Streptococcus (853.097837810188) (abundance=0) (cdf=0),[2614128] unclassified Clostridium (-853.097837810188) (abundance=0) (cdf=0),[570] Klebsiella (853.097837810188) (abundance=0) (cdf=0),[1318] Streptococcus parasanguinis (853.097837810188) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (-853.097837810188) (abundance=0) (cdf=0),[1485] Clostridium (-853.097837810188) (abundance=0) (cdf=0),[2580425] Faecalibacterium sp. Marseille-P9312 (-853.097837810188) (abundance=0) (cdf=0),[2646395] unclassified Faecalibacterium (-853.097837810188) (abundance=0) (cdf=0),[31979] Clostridiaceae (-853.097837810188) (abundance=0) (cdf=0),[186803] Lachnospiraceae (-853.097837810188) (abundance=0) (cdf=0),[1262820] Clostridium sp. CAG:567 (-853.097837810188) (abundance=0) (cdf=0),[189971] unclassified Clostridiaceae (-853.097837810188) (abundance=0) (cdf=0),[301301] Roseburia hominis (-853.097837810188) (abundance=0) (cdf=0),[39491] Agathobacter rectalis (-853.097837810188) (abundance=0) (cdf=0),[1971605] Faecalibacterium sp (-853.097837810188) (abundance=0) (cdf=0),[186801] Clostridia (-853.097837810188) (abundance=0) (cdf=0),[1622] Ligilactobacillus murinus (-853.097837810188) (abundance=0) (cdf=0),[158836] Enterobacter hormaechei (853.097837810188) (abundance=0) (cdf=0),[1898204] Clostridiaceae bacterium (-853.097837810188) (abundance=0) (cdf=0),[2006847] unclassified Muribaculaceae (-853.097837810188) (abundance=0) (cdf=0),[171551] Porphyromonadaceae (-853.097837810188) (abundance=0) (cdf=0),[580596] Butyricicoccus (-853.097837810188) (abundance=0) (cdf=0),[97478] Limosilactobacillus mucosae (853.097837810188) (abundance=0) (cdf=0),[216851] Faecalibacterium (-853.097837810188) (abundance=0) (cdf=0),[2608889] unclassified Escherichia (853.097837810188) (abundance=0) (cdf=0),[166486] Roseburia intestinalis (-853.097837810188) (abundance=0) (cdf=0),[2608920] unclassified Ruminococcus (-853.097837810188) (abundance=0) (cdf=0),[81684] unclassified Pseudomonadota (853.097837810188) (abundance=0) (cdf=0),[186802] Eubacteriales (-853.097837810188) (abundance=0) (cdf=0),[2049046] Porphyromonadaceae bacterium (-853.097837810188) (abundance=0) (cdf=0),[360807] Roseburia inulinivorans (-853.097837810188) (abundance=0) (cdf=0),[1898203] Lachnospiraceae bacterium (-853.097837810188) (abundance=0) (cdf=0),[216572] Oscillospiraceae (-853.097837810188) (abundance=0) (cdf=0),[1224] Pseudomonadota (853.097837810188) (abundance=0) (cdf=0),[39488] Anaerobutyricum hallii (-853.097837810188) (abundance=0) (cdf=0),[437897] Megamonas funiformis (-853.097837810188) (abundance=0) (cdf=0),[2293144] Roseburia sp. TF10-5 (-853.097837810188) (abundance=0) (cdf=0),[2608929] unclassified Klebsiella (853.097837810188) (abundance=0) (cdf=0),[446660] Adlercreutzia equolifaciens (-853.097837810188) (abundance=0) (cdf=0),[2637578] unclassified Roseburia (-853.097837810188) (abundance=0) (cdf=0),[817] Bacteroides fragilis (853.097837810188) (abundance=0) (cdf=0),[301302] Roseburia faecis (-853.097837810188) (abundance=0) (cdf=0),[186928] unclassified Lachnospiraceae (-853.097837810188) (abundance=0) (cdf=0),[1239] Bacillota (-853.097837810188) (abundance=0) (cdf=0),[2608935] unclassified Enterobacter (853.097837810188) (abundance=0) (cdf=0),[361210] unclassified Porphyromonadaceae (-853.097837810188) (abundance=0) (cdf=0),[49928] unclassified Bacteria (853.097837810188) (abundance=0) (cdf=0),[1301] Streptococcus (853.097837810188) (abundance=0) (cdf=0),[547] Enterobacter (853.097837810188) (abundance=0) (cdf=0),[573] Klebsiella pneumoniae (853.097837810188) (abundance=0) (cdf=0),[36866] unclassified Enterobacteriaceae (853.097837810188) (abundance=0) (cdf=0),[171549] Bacteroidales (-2.2591136588642304) (abundance=0) (cdf=0),[200643] Bacteroidia (-2.2591136588642304) (abundance=0) (cdf=0),[816] Bacteroides (-2.2591136588642304) (abundance=0) (cdf=0),[28117] Alistipes putredinis (-2.2591136588642304) (abundance=0) (cdf=0),[186806] Eubacteriaceae (-2.2591136588642304) (abundance=0) (cdf=0),[1730] Eubacterium (-2.2591136588642304) (abundance=0) (cdf=0),[820] Bacteroides uniformis (-2.2591136588642304) (abundance=0) (cdf=0),[201174] Actinomycetota (2.2591136588642304) (abundance=0) (cdf=0),[815] Bacteroidaceae (-2.2591136588642304) (abundance=0) (cdf=0),[946234] Flavonifractor (1.6846545050792743) (abundance=0) (cdf=0),[100883] Coprobacillus (1.6846545050792743) (abundance=0) (cdf=0),[2840493] Lachnospiraceae incertae sedis (-1.6846545050792743) (abundance=0) (cdf=0),[186827] Aerococcaceae (1.6846545050792743) (abundance=0) (cdf=0),[28216] Betaproteobacteria (-1.6846545050792743) (abundance=0) (cdf=0),[117563] Granulicatella (1.6846545050792743) (abundance=0) (cdf=0),[186826] Lactobacillales (1.6846545050792743) (abundance=0) (cdf=0),[46123] Abiotrophia (1.6846545050792743) (abundance=0) (cdf=0),[28211] Alphaproteobacteria (-1.6846545050792743) (abundance=0) (cdf=0),[91061] Bacilli (1.6846545050792743) (abundance=0) (cdf=0),[102106] Collinsella (-1.6846545050792743) (abundance=0) (cdf=0),[186828] Carnobacteriaceae (1.6846545050792743) (abundance=0) (cdf=0),[80840] Burkholderiales (-1.6846545050792743) (abundance=0) (cdf=0),[33042] Coprococcus (-1.6846545050792743) (abundance=0) (cdf=0),,,,,,,,,,,,,,
Myalgia,health_concerns,[2608889] unclassified Escherichia (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carcinoma, Non-Small-Cell Lung",health_concerns,[1485] Clostridium (79.12555751469372) (abundance=0) (cdf=0),[572511] Blautia (79.12555751469372) (abundance=0) (cdf=0),[2005473] Muribaculaceae (79.12555751469372) (abundance=0) (cdf=0),[1766253] Agathobacter (79.12555751469372) (abundance=0) (cdf=0),[239935] Akkermansia muciniphila (-3.437659477609119) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,health_concerns,[375288] Parabacteroides (178.42942531552137) (abundance=0) (cdf=0),[133925] Olsenella (178.42942531552137) (abundance=0) (cdf=0),[1385] Bacillales (-178.42942531552137) (abundance=0) (cdf=0),[207244] Anaerostipes (178.42942531552137) (abundance=0) (cdf=0),[1392389] Intestinimonas (1.911451395770994) (abundance=0) (cdf=0),[526524] Erysipelotrichia (1.911451395770994) (abundance=0) (cdf=0),[581] Morganella (1.911451395770994) (abundance=0) (cdf=0),[135858] Catenibacterium (1.911451395770994) (abundance=0) (cdf=0),[203491] Fusobacteriales (-1.911451395770994) (abundance=0) (cdf=0),[526525] Erysipelotrichales (1.911451395770994) (abundance=0) (cdf=0),[1228827] Influenza A virus (1.911451395770994) (abundance=0) (cdf=0),[1522] [Clostridium] innocuum (-1.911451395770994) (abundance=0) (cdf=0),[191303] Turicibacter (1.911451395770994) (abundance=0) (cdf=0),[909930] Acidaminococcaceae (-1.911451395770994) (abundance=0) (cdf=0),[186804] Peptostreptococcaceae (1.911451395770994) (abundance=0) (cdf=0),[1224] Pseudomonadota (1.5545856710180763) (abundance=0) (cdf=0),[201174] Actinomycetota (0.35686572475291767) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatinine,health_concerns,[186826] Lactobacillales (-1.0) (abundance=0) (cdf=0),[91061] Bacilli (-1.0) (abundance=0) (cdf=0),[1350] Enterococcus (-1.0) (abundance=0) (cdf=0),[213115] Desulfovibrionales (1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diastole,health_concerns,[31979] Clostridiaceae (-3904797632535938.5) (abundance=0) (cdf=0),[816] Bacteroides (-3904797632535938.5) (abundance=0) (cdf=0),[644652] Gordonibacter (1.0003579001777532) (abundance=0) (cdf=0),[1940255] Allofournierella (1.0003579001777532) (abundance=0) (cdf=0),[292632] Subdoligranulum (-1.0003579001777532) (abundance=0) (cdf=0),[1573534] Faecalitalea (-1.0003579001777532) (abundance=0) (cdf=0),[1224] Pseudomonadota (1.0003579001777532) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carcinoma, Renal Cell",health_concerns,[487174] Barnesiella intestinihominis (1.0) (abundance=0) (cdf=0),[457421] Clostridiales bacterium 1_7_47FAA (1.0) (abundance=0) (cdf=0),[39486] Dorea formicigenerans (-1.0) (abundance=0) (cdf=0),[853] Faecalibacterium prausnitzii (1.0) (abundance=0) (cdf=0),[39485] Lachnospira eligens (1.0) (abundance=0) (cdf=0),[165179] Segatella copri (-1.0) (abundance=0) (cdf=0),[88431] Dorea longicatena (-1.0) (abundance=0) (cdf=0),[154046] Hungatella hathewayi (1.0) (abundance=0) (cdf=0),[658087] Lachnospiraceae bacterium 7_1_58FAA (-1.0) (abundance=0) (cdf=0),[2642822] unclassified Bilophila (1.0) (abundance=0) (cdf=0),[328814] Alistipes shahii (1.0) (abundance=0) (cdf=0),[39488] Anaerobutyricum hallii (-1.0) (abundance=0) (cdf=0),[410072] Coprococcus comes (-1.0) (abundance=0) (cdf=0),[457412] Ruminococcus sp. 5_1_39BFAA (-1.0) (abundance=0) (cdf=0),[28117] Alistipes putredinis (1.0) (abundance=0) (cdf=0),[2685293] unclassified Subdoligranulum (1.0) (abundance=0) (cdf=0),[35833] Bilophila wadsworthia (1.0) (abundance=0) (cdf=0),[1512] [Clostridium] symbiosum (1.0) (abundance=0) (cdf=0),[239935] Akkermansia muciniphila (1.0) (abundance=0) (cdf=0),[2608889] unclassified Escherichia (1.0) (abundance=0) (cdf=0),[1318] Streptococcus parasanguinis (1.0) (abundance=0) (cdf=0),[116085] Coprococcus catus (-1.0) (abundance=0) (cdf=0),[39491] Agathobacter rectalis (-1.0) (abundance=0) (cdf=0),[658086] Lachnospiraceae bacterium 3_1_57FAA_CT1 (1.0) (abundance=0) (cdf=0),[1288121] Alistipes senegalensis (1.0) (abundance=0) (cdf=0),[246787] Bacteroides cellulosilyticus (1.0) (abundance=0) (cdf=0),[2030927] Bacteroidales bacterium (1.0) (abundance=0) (cdf=0),[2637685] unclassified Holdemania (1.0) (abundance=0) (cdf=0),[214856] Alistipes finegoldii (1.0) (abundance=0) (cdf=0),[820] Bacteroides uniformis (1.0) (abundance=0) (cdf=0),[821] Phocaeicola vulgatus (1.0) (abundance=0) (cdf=0),[1680] Bifidobacterium adolescentis (-1.0) (abundance=0) (cdf=0),[358743] Enterocloster citroniae (1.0) (abundance=0) (cdf=0),[473772] unclassified Oscillospiraceae (1.0) (abundance=0) (cdf=0),[876] Desulfovibrio desulfuricans (1.0) (abundance=0) (cdf=0),[28118] Odoribacter splanchnicus (1.0) (abundance=0) (cdf=0),[552398] Ruminococcaceae bacterium D16 (1.0) (abundance=0) (cdf=0),[74426] Collinsella aerofaciens (-1.0) (abundance=0) (cdf=0),[208479] Enterocloster bolteae (1.0) (abundance=0) (cdf=0),[823] Parabacteroides distasonis (1.0) (abundance=0) (cdf=0),[2637239] unclassified Mitsuokella (-1.0) (abundance=0) (cdf=0),[1308] Streptococcus thermophilus (-1.0) (abundance=0) (cdf=0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
